,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
73,MuseumModernArt,"A truly timeless look!
🕐🕑🕒🕓🕔🕕 https://t.co/HS0YvzWYFQ",2020-05-11 18:22:20,56,325,5357233
74,MuseumModernArt,"""In this moment when we are trying to make the most of the view from our windows, I find this painting to be a reassuring meditation on the infinite vistas in front of us yet.” —@prudencepeiffer

Our staff share artworks they look to for solace: https://t.co/9ro9NkhqR2
#MoMAPicks https://t.co/qjpX4sou3T",2020-05-11 17:11:09,52,168,5357233
75,MuseumModernArt,How about a rose for mom on #MothersDay? Isa Genzken’s supersized sculpture of a flower matches the scale of NYC buildings. Play with perspective and scale in a drawing or photo. Send a picture of what you make to your mom—she’ll love it no matter what! https://t.co/yCpei9bfgQ https://t.co/ndPm7TqSLU,2020-05-10 15:30:09,17,104,5357233
76,MuseumModernArt,"We’re bidding you and our Sculpture Garden a good night! (Is that Picasso’s She-Goat we hear snoring?)

Discover more beautiful scenes from the #MoMAGarden’s eighty-year history in an excerpt from our publication “Oasis in the City”: https://t.co/LwQgVDGztI
#MoMAVirtualViews https://t.co/YqQYPrefol",2020-05-09 22:33:02,32,170,5357233
77,MuseumModernArt,"How satisfying is that? One year ago, the master riggers of Budco made it look easy to thread the needle with Barnett Newman's multi-ton ""Broken Obelisk."" Get an inside look at how art in the #MoMAGarden came to life during our reinstallation: https://t.co/GpFBobkhcR https://t.co/bKIosAQLdz",2020-05-09 17:29:09,51,337,5357233
78,MuseumModernArt,"Treat yourself to a #SelfCareSaturday. Meditate and explore art and nature in our Sculpture Garden audio guide, made possible by @BloombergDotOrg.

We think we’ll sit right down underneath Hector Guimard’s Paris subway gate. https://t.co/FhjAsK7Nlz
#MoMAVirtualViews https://t.co/kEVchZ6Zkw",2020-05-09 13:36:02,37,147,5357233
79,MuseumModernArt,Watch Jean Tinguely's work self-destruct in the Sculpture Garden in Robert Breer’s documentation of the 1960 event—which ended with a firefighter finishing off the piece with an axe! The 4-day-only screening is as part of our #MoMAVirtualViews: https://t.co/mQVB8JScI4 https://t.co/K47hseP2Ms,2020-05-09 00:35:02,36,117,5357233
80,MuseumModernArt,#FBF Remembering some of the most incredible moments in our Sculpture Garden’s more than 80 year history. A standout: when Yayoi Kusama staged an unauthorized orgy in 1969. “But is it art?” read the next day’s headline! Explore more highlights: https://t.co/mQVB8JScI4 https://t.co/gaPAjpavGa,2020-05-08 18:30:10,57,224,5357233
81,MuseumModernArt,"One of life's great pleasures!

While we can't be there together now, take the afternoon to relax in our Sculpture Garden in our #MoMAVirtualViews: https://t.co/yCpei9bfgQ https://t.co/EWLxtCRRqK",2020-05-08 16:22:56,4,19,5357233
82,MuseumModernArt,💏 https://t.co/PuZetJ4FHf,2020-05-08 14:19:56,3,50,5357233
